text,label
"Cynergy Software Specialize in Borland Delphi and Internet-based application analysis, design and development. ",13
"PlanetMath Collaborative, peer-reviewed mathematics encyclopedia with TeX input, inspired by MathWorld (GNU Free Documentation License). ",12
"Apple Where to Buy Apple's USA retail portal allowing with access to the online store, Apple stores and reseller search function. ",2
"Bigfoto.com Photos 1200x800 free download for personal use, with the name of the homepage free download for commercial use. ",7
MIT Robot Pike Project A robotic fish designed to learn more about the complex fluid mechanics that fish use to propel themselves. Photos and video. ,14
Lua Player Script player for Sony PSP; makes writing games for PSP somewhat easier. ,13
Sitereview.org Programming site reviews posted by users. ,13
ThumbPlus ActiveX Control Display thumbnails for image files. By Inspired Creations. [Shareware] ,13
LCP Password recovery tool for Windows NT/2000/XP/2003. ,15
MacForensicsLab Inc. Provides cross-platform computer forensics tools for digital forensics and e-discovery. ,15
"Information Retrieval Group Giving end-users novel, effective, and efficient access to the world of multi-media information. ",3
"BlueVoices Offers ringtones for Nokia, Siemens, Sonyericcson, Samsung and Alcatel mobile phones. ",10
BioComp Systems Inc. A consulting and software development firm specializing in neural network and genetic algorithms. ,0
"FreeStockPhotos.com Featuring images of nature, landscape, wildlife, outdoor recreation, and cityscapes for commercial or personal use. Also, links to public domain government photographs. ",7
"Motorola Bluetooth Bluetooth development platforms, applications, cellphones, PDAs and car kits. ",5
"GSview A graphical interface for Ghostscript, to display postscript documents on several platforms. ",5
"Dingbat's Warehouse Information about viruses, intrusion detection software, personal firewalls, and privacy. Hosts a streaming webcast called The Byte Show on security-related topics; CD-ROMs of interviews and software available. ",15
Platinum Dollz 77 Categorized dolls arranged in a variety of categories. ,7
"Fleeman Anderson and Bird Specializes in 802.11 2.4GHz wireless networking hardware. Offers online ordering, driver downloads, wireless information and utilities. ",5
"Intaglio Training Solutions Training provided for Cisco, Microsoft, Red Hat, and Novel certifications. ",6
"Cold Fusion Metallic Element Offers custom designs and web design, includes linkware backgrounds, buttons, bullets, lines, navigation interfaces, orbs and planets, HTML help, and message board for designers. ",7
Advanced Computing for Science Seeks to allow scientists to address complex and large-scale computing and data analysis problems beyond what is possible today. The department is developing software components which will operate in a distributed environment. ,3
"LightMix Design Studio A full service web design, graphic design and multimedia development company located in Metro DC area and serving clients worldwide. ",4
Tetris Source Code in C# It is the best way to learn C#(C Sharp) programming quickly. ,13
"Musox.com Reviews, tips, and OS X resources. ",16
"Macintosh Association of Central New Jersey High Bridge, NJ. Newsletter, schedule, message board, special interest groups, links, store, and meeting information. ",17
Toast Net Test the speed of your Internet connection. Unlimited tests at no additional charge. ,5
"Graphics 4 Free Features free original, graphics for use on business or personal web sites. Buttons, backgrounds, dividers, and bars. ",7
SPLAT The Simple Provisional Language for Actions and Tasks provides both a language for specifying control laws and a runtime environment for executing and monitoring them. Based on RScheme. SPLAT is Free Software licensed under the GNU GPL. ,14
Seek4Wap.com Search engine for WAP content in 8 languages. ,10
Click4WAP Access to the World's top Wap applications all from one easy to navigate wapsite. ,10
"TUG 2001 22nd Annual Meeting and Conference of the TeX Users Group. Newark, Delaware, USA; 12--16 August 2001. ",16
"Netezza Corporation Provider of enterprise-class data warehouse appliances. Includes information about product, investors, and job opportunities. ",2
"Lisa Jos Castle GIFs of fairies, unicorns, dragons, angels, castles, Native American, Holidays, and ocean fantasy. ",7
"Nial Systems Ltd. NIAL, Nested Interactive Array Language, mixes aspects of functional array and procedural languages. Rich primitives set makes it easy, fast to code loop-free data-driven algorithms. Also Q'Nial IDE, and Nial Data Engine embeddable interpreter. [Open Source, Artistic Licence] ",13
"Apnahost Provides web hosting, design, and domain name registration. ",9
"openPlaG An online function graph plotter. It can compute and plot a very high amount of functions, including many probability functions.(PHP5) ",12
EPFL Autonomous Systems Lab Swiss Federal Institute of Technology research group specializing in autonomous control of robots in uncertain and highly dynamic environments. ,14
1902 Software Development) Philippine company offering software development outsourcing services and web based software designed to manage the software development process from conceptualization through development to implementation. ,2
Andrew Wilson Design Offers interactive Flash and print design. ,9
"PLM World Central user's organization representing users of EDS PLM Solutions software, including I-DEAS, Unigraphics, Metaphase, and i-man, with events, special interest information, events calendar, and links to regional groups. ",1
Socket Programming HOWTO Help on programming sockets with Python. ,13
"Emmarc Ltd Home of the ""KleenKard"" for magnetic swipe and smartcard application. ",2
"Cadclassified.com A marketplace for CAD jobs, with listings primarily for North America and India. Includes categories for Autocad, Unigraphics, Pro-E, Catia, and SDRC Ideas. ",1
HFT Online Professional computer help with a personal touch. ,2
"Printing Society Produces graphic books with CD-ROM in vector EPS format, each book contains 144 pages with about 500-700 clip art of illustrations, patterns, clipart, fabrics, logos, for screen-prints, embroideries, typographic and Internet works. ",7
"Stolte, Nilo Research in computer graphics: voxelization and visualization of implicit surfaces, discrete ray tracing, and fractal clouds. ",3
"Washington Softwares Ltd. Mechanical design software with 2-D drawing support for designing of centrifugal fans, pressure vessels (ASME and ISI standards), Gears, clutches, and couplings. ",1
Goodison Electrics Installation of network cabling. Includes products and services offered. ,5
Illinois Institute of Technology Information Retrieval Laboratory. Research and development in information retrieval technologies. ,3
"Fraunhofer IIS Information about the different parts of MPEG-4 Natural or General Audio (GA) from one of the inventors of these formats, see also their page about MPEG-2 AAC. ",11
"Digital White London UK based digital design agency offering high-end flash, web and print solutions. ",11
"Power Of Production Studio Offers design, hosting, graphics, and consulting. ",9
"Deversus Software Inc. Custom software and web development services for business. Includes company profile, technology utilized, testimonials and case studies. ",2
"Robot MarketPlace Parts for robots. Focus is on combat robots (BattleBots, Robot Wars, etc), but hobby robots are also available. Online store include motors, Batteries, electronics, kits, toys, and books. ",14
"Leow, Wee Kheng Computer vision, computational olfaction. ",0
"SSL.com Provider of wildcard, single and multi-year warranted 128-bit SSL certificates for web servers. ",15
"MarkMyScriptures A documentation reader which allows users to quickly navigate within, underline passages and annotate the King James Version of the Bible and other religious works (e.g. the Book of Mormon and Pearl of Great Price). From Skimware. ",17
RFC 2414 - Increasing TCP's Initial Window Obsoleted by RFC 3390. ,9
"Ray Tracer Language Comparison Mini ray tracer benchmark written equivalently in C++, Java, SML, Objective Caml, Lisp, Scheme. Compares verbosity, performance; text, code samples, tables, image, graph. [Flying Frog Consultancy] ",13
"Almighty Media CD authoring, kiosks, web design, programming, hosting and graphic design. Based in Ontario, United Sates. ",11
"Susanna's Loft Victorian e-cards featuring Christmas, Valentines Day, Halloween, birthdays and various greetings. ",9
"MatchWare Multimedia Software Latest software for web design, screen captures, GIF animation and voice email. Product specifications for Mediator6, ScreenCorder, Visual GIF Animator and VoiceMail including demonstrations, online tutorials and ordering. ",16
Wikipedia Boycott Campaign Criticism and Boycott Campaign towards Wikipedia ,12
Internet Software Solutions Provides software for transmitting text messages to mobile alphanumeric messaging devices. ,10
"Unicorn XSLT Processor A developer product implementing various XML-enabling technologies, which include a parser, writers, DOM, XPath, XSLT, XSLT extensions, XML-enabling extensions for ECMAScript (Javascript). The ECMA extensions are contained in a runtime library which must be redistributed. ",5
"Wooded Isle Computer Consultants Provides computer services for individuals and small businesses. Includes services offered, pricing, coupons, resources, and contact information. ",4
EngineWorks Computer-based training for ECDL and Sage. Can buy online. ,6
"FlashBooty Stylized retro Flash animations, links and examples. ",11
"A.B. Consulting Provides training and support services for several accounting and legal software products - focused on billing and time tracking. Based in Seattle, WA. ",4
